fecha,tmed,tmin,tmax,hrMedia,tmed_max,tmed_min,tmed_mean,tmin_max,tmin_min,tmin_mean,tmax_max,tmax_min,tmax_mean,hrMedia_max,hrMedia_min,hrMedia_mean,estacion_Invierno,estacion_Otoño,estacion_Primavera,estacion_Verano,mes
2022-08-31,25.5,22.200000762939453,28.799999237060547,77.0,27.399999618530273,22.799999237060547,24.88333288828532,25.299999237060547,20.5,22.28333346048991,29.5,25.0,27.466666221618652,81.0,65.0,73.83333333333333,False,False,False,True,8
2022-09-01,23.700000762939453,20.200000762939453,27.200000762939453,69.0,28.200000762939453,22.200000762939453,24.383333841959637,26.200000762939453,20.200000762939453,21.93333371480306,30.100000381469727,23.600000381469727,26.800000190734863,80.0,64.0,72.0,False,True,False,False,9
2022-09-02,24.600000381469727,21.899999618530273,27.299999237060547,67.0,27.600000381469727,21.799999237060547,24.016666412353516,25.899999618530273,19.200000762939453,21.64999993642171,29.299999237060547,24.5,26.366666475931805,79.0,63.0,71.66666666666667,False,True,False,False,9
2022-09-03,22.200000762939453,19.299999237060547,25.200000762939453,67.0,27.0,21.799999237060547,23.574999809265137,24.5,18.899999618530273,20.9499994913737,29.5,24.700000762939453,26.233333587646484,80.0,67.0,74.33333333333333,False,True,False,False,9
2022-09-04,21.399999618530273,18.299999237060547,24.5,57.0,26.399999618530273,21.399999618530273,23.52499993642171,22.899999618530273,18.299999237060547,20.64999993642171,29.899999618530273,24.5,26.399999618530273,77.0,57.0,70.66666666666667,False,True,False,False,9
2022-09-05,21.200000762939453,17.899999618530273,24.5,74.0,24.899999618530273,21.200000762939453,23.633333524068195,23.5,17.899999618530273,20.866666793823242,28.200000762939453,24.5,26.416666984558105,86.0,63.0,72.5,False,True,False,False,9
2022-09-06,21.399999618530273,17.899999618530273,25.0,69.0,25.0,21.399999618530273,23.766666412353516,23.600000381469727,17.899999618530273,21.53333314259847,27.299999237060547,25.0,26.049999872843426,83.0,69.0,76.5,False,True,False,False,9
2022-09-07,21.0,18.299999237060547,23.700000762939453,69.0,25.600000381469727,21.0,23.89999993642171,23.899999618530273,18.299999237060547,21.63333288828532,29.0,23.700000762939453,26.166666984558105,86.0,62.0,74.33333333333333,False,True,False,False,9
2022-09-08,21.600000381469727,17.899999618530273,25.299999237060547,67.0,24.5,21.600000381469727,23.291666984558105,22.799999237060547,17.899999618530273,20.84166653951009,28.399999618530273,24.899999618530273,25.749999682108562,82.0,67.0,74.41666666666667,False,True,False,False,9
2022-09-09,22.399999618530273,19.100000381469727,25.799999237060547,66.0,25.200000762939453,22.399999618530273,23.458333333333332,22.700000762939453,19.100000381469727,21.275000254313152,27.799999237060547,24.100000381469727,25.683333079020183,80.0,66.0,75.08333333333333,False,True,False,False,9
2022-09-10,22.600000381469727,18.700000762939453,26.5,69.0,25.200000762939453,22.399999618530273,23.541666984558105,21.899999618530273,18.700000762939453,20.608333269755047,29.5,24.799999237060547,26.516666412353516,77.0,42.0,68.75,False,True,False,False,9
2022-09-11,22.0,18.200000762939453,25.799999237060547,90.0,24.0,22.0,23.175000190734863,21.649999618530273,18.200000762939453,20.375,26.700000762939453,25.299999237060547,25.983333269755047,90.0,54.0,72.75,False,True,False,False,9
2022-09-12,22.299999237060547,19.600000381469727,25.0,82.0,24.200000762939453,20.899999618530273,22.94166660308838,21.649999618530273,19.299999237060547,20.274999618530273,27.700000762939453,22.5,25.633333206176758,82.0,68.0,72.91666666666667,False,True,False,False,9
2022-09-13,22.299999237060547,19.700000762939453,24.899999618530273,82.0,24.200000762939453,22.299999237060547,23.491666793823242,22.0,19.700000762939453,20.97500006357829,27.399999618530273,24.899999618530273,26.016666412353516,82.0,58.0,73.08333333333333,False,True,False,False,9
2022-09-14,20.700000762939453,18.5,22.899999618530273,83.0,25.799999237060547,20.700000762939453,23.541666666666668,23.600000381469727,18.5,21.34166653951009,28.0,22.899999618530273,25.749999682108562,84.0,65.0,77.58333333333333,False,True,False,False,9
2022-09-15,20.399999618530273,18.200000762939453,22.700000762939453,84.0,25.200000762939453,20.399999618530273,23.391666730244953,23.200000762939453,18.200000762939453,21.325000127156574,27.200000762939453,22.700000762939453,25.500000317891438,89.0,74.5,81.25,False,True,False,False,9
2022-09-16,20.700000762939453,17.5,23.899999618530273,81.0,23.799999237060547,20.700000762939453,22.34166685740153,21.700000762939453,17.5,20.041666666666668,25.899999618530273,23.600000381469727,24.666666348775227,87.0,72.0,78.08333333333333,False,True,False,False,9
2022-09-17,21.0,17.100000381469727,24.899999618530273,85.0,24.100000381469727,21.0,22.958333651224773,21.649999618530273,17.100000381469727,20.125,27.5,24.899999618530273,25.78333314259847,85.0,59.0,77.25,False,True,False,False,9
2022-09-18,23.799999237060547,21.0,26.700000762939453,76.0,24.0,22.399999618530273,23.141666412353516,22.700000762939453,18.700000762939453,20.608333587646484,27.0,24.799999237060547,25.749999682108562,86.0,56.0,76.25,False,True,False,False,9
2022-09-19,24.149998664855957,21.399999618530273,28.799999237060547,68.0,24.149998664855957,21.600000381469727,22.81666644414266,21.649999618530273,18.0,20.34166653951009,28.799999237060547,24.399999618530273,25.63333288828532,84.0,52.0,72.75,False,True,False,False,9
2022-09-20,23.600000381469727,21.0,26.100000381469727,77.0,23.799999237060547,21.799999237060547,23.22500006357829,21.649999618530273,18.899999618530273,20.59166653951009,26.799999237060547,24.799999237060547,25.833333015441895,86.0,61.0,76.25,False,True,False,False,9
2022-09-21,23.399999618530273,20.399999618530273,26.299999237060547,74.0,23.5,21.600000381469727,22.866666793823242,22.399999618530273,18.799999237060547,20.416666348775227,27.399999618530273,24.0,25.333333015441895,85.0,43.0,73.0,False,True,False,False,9
2022-09-22,23.0,20.799999237060547,25.100000381469727,81.0,23.399999618530273,21.600000381469727,22.60000006357829,21.399999618530273,19.200000762939453,20.249999682108562,26.0,23.299999237060547,24.916666666666668,81.0,69.0,73.83333333333333,False,True,False,False,9
2022-09-23,23.0,19.799999237060547,26.200000762939453,80.0,23.5,21.100000381469727,22.400000254313152,21.600000381469727,18.399999618530273,19.64999993642171,27.100000381469727,23.799999237060547,25.150000254313152,81.0,50.0,68.0,False,True,False,False,9
2022-09-24,22.700000762939453,19.5,25.899999618530273,69.0,24.5,20.799999237060547,22.700000127156574,21.0,17.600000381469727,20.10000006357829,28.0,24.0,25.31666660308838,93.0,48.0,67.83333333333333,False,True,False,False,9
